gene_id,gene_name,n_regulators,resid_responsiveness,my_gene_response,essential_hart,shet
ENSG00000023041,ZDHHC6,191.0,-95.95111437607258,122.0,False,0.00227708
ENSG00000023171,GRAMD1B,421.0,90.67328372011613,296.0,False,0.14710722
ENSG00000023191,RNH1,214.0,-74.22151828322265,135.0,False,0.00211443
ENSG00000023228,NDUFS1,162.0,-109.55242855860104,101.0,False,0.00362525
ENSG00000023287,RB1CC1,157.0,-49.40059323027802,103.0,False,0.18875659
ENSG00000023318,ERP44,248.0,-31.5670872813876,164.0,False,0.14622018
ENSG00000023330,ALAS1,179.0,-51.03001065230359,124.0,False,0.0324001
ENSG00000023445,BIRC3,494.0,99.67390559682649,319.0,False,0.03717913
ENSG00000023516,AKAP11,235.0,-50.91541203132205,146.0,False,0.06040856
ENSG00000023572,GLRX2,206.0,-29.292559803836184,134.0,False,0.00210322
ENSG00000023697,DERA,235.0,2.396235978097806,154.0,False,0.00065542
ENSG00000023734,STRAP,370.0,39.37129532182247,239.0,False,0.10686974
ENSG00000023839,ABCC2,40.0,-21.388905171290112,24.0,False,0.00022939
ENSG00000023892,DEF6,330.0,40.00651606813969,198.0,False,0.08670654
ENSG00000023902,PLEKHO1,308.0,39.552908924868106,201.0,False,0.04871828
ENSG00000023909,GCLM,347.0,89.78312090375655,225.0,False,0.14400105
ENSG00000024048,UBR2,431.0,139.36273673783506,274.0,False,0.08109474
ENSG00000024526,DEPDC1,291.0,38.60631581158398,193.0,False,0.00202601
ENSG00000024862,CCDC28A,298.0,104.5204743911809,198.0,False,0.0018684
ENSG00000025039,RRAGD,347.0,210.31065781624025,226.0,False,0.08920625
ENSG00000025156,HSF2,83.0,-92.70492085960068,51.0,False,0.09660874
ENSG00000025293,PHF20,126.0,-54.19214655893648,74.0,False,0.15086255
ENSG00000025423,HSD17B6,77.0,-12.526066051240406,52.0,False,0.0313874
ENSG00000025434,NR1H3,85.0,-39.53494867879106,58.0,False,0.02034079
ENSG00000025708,TYMP,434.0,178.89114718474985,278.0,False,0.00130375
ENSG00000025770,NCAPH2,240.0,-39.65190064822259,145.0,False,0.03000111
ENSG00000025772,TOMM34,327.0,68.24627324588388,222.0,False,0.01665816
ENSG00000025796,SEC63,206.0,-33.04275602488332,131.0,False,0.02248674
ENSG00000025800,KPNA6,156.0,-122.65959835342578,90.0,False,0.1838245
ENSG00000026025,VIM,601.0,-209.356411659358,359.0,False,0.09846771
ENSG00000026103,FAS,441.0,169.37235309091142,282.0,False,0.05940548
ENSG00000026297,RNASET2,182.0,-1.160991574337018,126.0,False,0.00131859
ENSG00000026508,CD44,598.0,161.81672895216045,401.0,False,0.03242292
ENSG00000026559,KCNG1,70.0,4.205763523347655,50.0,False,0.0379564
ENSG00000026652,AGPAT4,188.0,38.88764661856351,133.0,False,0.05061178
ENSG00000026751,SLAMF7,279.0,77.19470046681913,172.0,False,0.01790915
ENSG00000026950,BTN3A1,230.0,86.6299829267713,147.0,False,0.0009717
ENSG00000027001,MIPEP,98.0,-36.48882737628933,60.0,False,0.00061426
ENSG00000027075,PRKCH,311.0,-13.464788333578028,215.0,False,0.06997708
ENSG00000027697,IFNGR1,280.0,67.31449646124332,167.0,False,0.01019657
ENSG00000027847,B4GALT7,144.0,-47.74858246616073,96.0,False,0.00179378
ENSG00000027869,SH2D2A,422.0,107.845119862432,274.0,False,0.00244432
ENSG00000028116,VRK2,115.0,-75.6402085591028,72.0,False,0.00081551
ENSG00000028137,TNFRSF1B,388.0,43.386655782747425,261.0,False,0.0435074
ENSG00000028203,VEZT,222.0,3.295058017292284,161.0,False,0.0345321
ENSG00000028277,POU2F2,276.0,59.92102499188686,183.0,False,0.41681378
